H1.4	H1 .4
H1.5	Histone H1.5
H1.5	Histone 1.5
H1.5	H1 .5
H2A.1A	Histone H2A.1A
H2A.1A	Histone 2A.1A
H2A.1A	Histone H2A type 1-A
H2A.1A	H2A .1A
